Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,Int,Sack,Loss,Rate,NetYds,Yds/G
Arizona Cardinals,13,466,306,65.7,3198,6.86,20,10,37,274,90.8,2924,224.9
Atlanta Falcons,13,494,344,69.6,3851,7.8,26,9,25,188,102.5,3663,281.8
Baltimore Ravens,13,505,328,65,3282,6.5,19,8,28,214,89.2,3068,236
Buffalo Bills,13,461,304,65.9,3343,7.25,21,12,31,172,91.6,3171,243.9
Carolina Panthers,13,477,330,69.2,3389,7.1,23,5,19,129,101,3260,250.8
Chicago Bears,13,451,283,62.7,3217,7.13,20,7,30,201,92.4,3016,232
Cincinnati Bengals,13,451,285,63.2,3327,7.38,25,9,15,69,95.6,3258,250.6
Cleveland Browns,13,476,309,64.9,3468,7.29,26,10,34,231,96,3237,249
Dallas Cowboys,13,406,264,65,2930,7.22,28,5,24,133,104.2,2797,215.2
Denver Broncos,13,456,301,66,3106,6.81,16,8,36,237,89.9,2869,220.7
Detroit Lions,13,448,303,67.6,3584,8,26,7,18,154,104.6,3430,263.8
Green Bay Packers,13,433,281,64.9,3162,7.3,22,8,35,224,95.8,2938,226
Houston Texans,13,447,308,68.9,3510,7.85,25,3,31,204,108.1,3306,254.3
Indianapolis Colts,13,430,276,64.2,3152,7.33,17,15,28,190,84.8,2962,227.8
Jacksonville Jaguars,13,444,310,69.8,3643,8.21,28,9,16,89,107,3554,273.4
Kansas City Chiefs,13,457,285,62.4,3132,6.85,21,15,24,136,84.2,2996,230.5
Las Vegas Raiders,14,504,319,63.3,3726,7.39,24,10,16,91,93.2,3635,259.6
Los Angeles Chargers,14,464,293,63.1,3233,6.97,27,10,24,135,94.2,3098,221.3
Los Angeles Rams,13,458,286,62.4,2777,6.06,14,13,42,285,77.7,2492,191.7
Miami Dolphins,13,446,281,63,3440,7.71,16,16,34,293,83.7,3147,242.1
Minnesota Vikings,13,461,302,65.5,3453,7.49,26,11,21,117,96.7,3336,256.6
New England Patriots,13,394,260,66,2967,7.53,17,15,19,126,87,2841,218.5
New Orleans Saints,13,432,262,60.6,2943,6.81,22,13,36,223,85.4,2720,209.2
New York Giants,13,469,315,67.2,3406,7.26,18,10,33,267,92.2,3139,241.5
New York Jets,13,487,346,71,3840,7.88,28,9,21,112,105.6,3728,286.8
Philadelphia Eagles,13,431,292,67.7,3151,7.31,19,4,43,283,99.8,2868,220.6
Pittsburgh Steelers,13,452,253,56,2939,6.5,19,17,45,311,74.2,2628,202.2
San Francisco 49ers,13,417,270,64.7,2877,6.9,21,11,23,143,90.6,2734,210.3
Seattle Seahawks,13,539,363,67.3,4009,7.44,21,11,36,176,93.7,3833,294.8
Tampa Bay Buccaneers,13,493,342,69.4,3538,7.18,24,14,40,296,94.2,3242,249.4
Tennessee Titans,13,527,346,65.7,3670,6.96,28,12,14,113,94,3557,273.6
Washington Football Team,13,441,280,63.5,2956,6.7,19,12,40,274,85.9,2682,206.3
