Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Arizona Cardinals,13,404,1966,4.87,20,119,151.2
Atlanta Falcons,13,347,1278,3.68,12,74,98.3
Baltimore Ravens,13,424,2259,5.33,19,121,173.8
Buffalo Bills,13,331,1333,4.03,10,98,102.5
Carolina Panthers,13,325,1402,4.31,16,86,107.8
Chicago Bears,13,287,1212,4.22,6,63,93.2
Cincinnati Bengals,13,318,1200,3.77,9,71,92.3
Cleveland Browns,13,416,2031,4.88,16,109,156.2
Dallas Cowboys,13,347,1442,4.16,10,97,110.9
Denver Broncos,13,354,1523,4.3,9,73,117.2
Detroit Lions,13,303,1174,3.87,13,72,90.3
Green Bay Packers,13,360,1610,4.47,11,90,123.8
Houston Texans,13,289,1121,3.88,8,65,86.2
Indianapolis Colts,13,371,1469,3.96,15,97,113
Jacksonville Jaguars,13,282,1328,4.71,9,69,102.2
Kansas City Chiefs,13,324,1452,4.48,11,84,111.7
Las Vegas Raiders,14,410,1706,4.16,17,108,121.9
Los Angeles Chargers,14,411,1560,3.8,10,98,111.4
Los Angeles Rams,13,395,1676,4.24,19,108,128.9
Miami Dolphins,13,341,1238,3.63,10,74,95.2
Minnesota Vikings,13,392,1910,4.87,15,114,146.9
New England Patriots,13,427,1918,4.49,19,123,147.5
New Orleans Saints,13,402,1785,4.44,21,114,137.3
New York Giants,13,338,1515,4.48,12,77,116.5
New York Jets,13,316,1348,4.27,7,76,103.7
Philadelphia Eagles,13,316,1641,5.19,12,93,126.2
Pittsburgh Steelers,13,316,1158,3.66,10,67,89.1
San Francisco 49ers,13,347,1426,4.11,17,79,109.7
Seattle Seahawks,13,334,1574,4.71,12,88,121.1
Tampa Bay Buccaneers,13,303,1263,4.17,12,66,97.2
Tennessee Titans,13,415,2051,4.94,18,109,157.8
Washington Football Team,13,334,1316,3.94,17,86,101.2
