Team,Gms,Att,Yds,Avg,TD,FD,Yds/G
Arizona Cardinals,13,347,1554,4.48,12,95,119.5
Atlanta Falcons,13,319,1415,4.44,12,77,108.8
Baltimore Ravens,13,329,1477,4.49,12,80,113.6
Buffalo Bills,13,342,1559,4.56,16,106,119.9
Carolina Panthers,13,332,1477,4.45,14,88,113.6
Chicago Bears,13,375,1501,4,9,87,115.5
Cincinnati Bengals,13,369,1712,4.64,9,94,131.7
Cleveland Browns,13,337,1483,4.4,16,101,114.1
Dallas Cowboys,13,417,2115,5.07,17,118,162.7
Denver Broncos,13,367,1703,4.64,17,89,131
Detroit Lions,13,392,1727,4.41,21,104,132.8
Green Bay Packers,13,312,1426,4.57,13,94,109.7
Houston Texans,13,396,1980,5,17,111,152.3
Indianapolis Colts,13,338,1290,3.82,15,83,99.2
Jacksonville Jaguars,13,410,1892,4.61,16,109,145.5
Kansas City Chiefs,13,358,1669,4.66,11,96,128.4
Las Vegas Raiders,14,381,1761,4.62,23,103,125.8
Los Angeles Chargers,14,382,1733,4.54,15,100,123.8
Los Angeles Rams,13,315,1224,3.89,10,77,94.2
Miami Dolphins,13,341,1563,4.58,14,97,120.2
Minnesota Vikings,13,363,1559,4.29,8,93,119.9
New England Patriots,13,366,1612,4.4,12,98,124
New Orleans Saints,13,312,1159,3.71,7,59,89.2
New York Giants,13,335,1319,3.94,11,84,101.5
New York Jets,13,379,1467,3.87,14,81,112.8
Philadelphia Eagles,13,390,1655,4.24,18,81,127.3
Pittsburgh Steelers,13,314,1312,4.18,7,69,100.9
San Francisco 49ers,13,354,1375,3.88,8,81,105.8
Seattle Seahawks,13,319,1241,3.89,16,83,95.5
Tampa Bay Buccaneers,13,304,1052,3.46,9,66,80.9
Tennessee Titans,13,346,1480,4.28,13,87,113.8
Washington Football Team,13,338,1393,4.12,10,77,107.2
