Home Team Win,Home Team,Away Team,HT Above Average Rush O,HT Above Average Pass O,HT Above Average Rush D,HT Above Average Pass D,AT Above Average Rush O,AT Above Average Pass O,AT Below Average Rush O,AT Below Average Pass O,,,,,,,,
0,Denver Broncos,Buffalo Bills,,,,,,,,,,,,,,,,
,Green Bay Packers,Carolina Panthers,,,,,,,,,,,,,,,,
,Miami Dolphins,New England Patriots,,,,,,,,,,,,,,,,
,Baltimore Ravens,Jacksonville Jaguars,,,,,,,,,,,,,,,,
,Indianapolis Colts,Houston Texans,,,,,,,,,,,,,,,,
,Tennessee Titans,Detroit Lions,,,,,,,,,,,,,,,,
,Dallas Cowboys,San Francisco 49ers,,,,,,,,,,,,,,,,
,Washington Football Team,Seattle Seahawks,,,,,,,,,,,,,,,,
,Minnesota Vikings,Chicago Bears,,,,,,,,,,,,,,,,
,Atlanta Falcons,Tampa Bay Buccaneers,,,,,,,,,,,,,,,,
,Arizona Cardinals,Philadelphia Eagles,,,,,,,,,,,,,,,,
,Los Angeles Rams,New York Jets,,,,,,,,,,,,,,,,
,New Orleans Saints,Kansas City Chiefs,,,,,,,,,,,,,,,,
,New York Giants,Cleveland Browns,,,,,,,,,,,,,,,,
,Cincinnati Bengals,Pittsburgh Steelers,,,,,,,,,,,,,,,,
,Las Vegas Raiders,Los Angeles Chargers,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
